company,ticker,cik,filing_date,event_type,person_name,title,effective_date,earnings_filing_date,earnings_period,revenue_reported,eps_diluted,net_income,days_to_nearest_earnings,event_timing
Apple Inc.,AAPL,0000320193,2026-04-20,departure,Tim Cook,Chief Executive Officer,2026-09-01,2026-04-30,fiscal 2026 second quarter,111.2 billion,2.01,NOT_FOUND,10,before earnings
Apple Inc.,AAPL,0000320193,2026-04-20,appointment,John Ternus,Chief Executive Officer,NOT_FOUND,2026-04-30,fiscal 2026 second quarter,111.2 billion,2.01,NOT_FOUND,10,before earnings
Apple Inc.,AAPL,0000320193,2026-01-02,appointment,Ben Borders,Principal Accounting Officer,2026-01-01,2026-01-29,fiscal 2026 first quarter,143.8 billion,2.84,NOT_FOUND,27,before earnings
Apple Inc.,AAPL,0000320193,2025-12-05,both,Jennifer Newstead,CEO,NOT_FOUND,2025-10-30,fiscal 2025 fourth quarter,102.5 billion,1.85,NOT_FOUND,36,after earnings
Microsoft Corporation,MSFT,0000789019,2026-06-05,both,Reid Hoffman,Director,NOT_FOUND,2026-04-29,"quarter ended March 31, 2026",82.9 billion,4.27,31.8 billion,37,after earnings
Microsoft Corporation,MSFT,0000789019,2026-05-14,both,Carmine Di Sibio,NOT_FOUND,2026-05-13,2026-04-29,"quarter ended March 31, 2026",82.9 billion,4.27,31.8 billion,15,after earnings
Microsoft Corporation,MSFT,0000789019,2025-12-08,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,2025-10-29,"quarter ended September 30, 2025",77.7 billion,3.72,27.7 billion,40,after earnings
Microsoft Corporation,MSFT,0000789019,2025-09-30,both,Carlos A. Rodriguez,Director,NOT_FOUND,2025-10-29,"quarter ended September 30, 2025",77.7 billion,3.72,27.7 billion,29,before earnings
NVIDIA Corporation,NVDA,0001045810,2026-07-02,both,Ajay K. Puri,"Executive Vice President, Worldwide Field Operations of NVIDIA Corporation",NOT_FOUND,2026-05-20,First Quarter Fiscal 2027,81.6 billion,0.01,NOT_FOUND,43,after earnings
NVIDIA Corporation,NVDA,0001045810,2026-07-02,appointment,Nicholas Parker,"Executive Vice President, Worldwide Field Operations",NOT_FOUND,2026-05-20,First Quarter Fiscal 2027,81.6 billion,0.01,NOT_FOUND,43,after earnings
NVIDIA Corporation,NVDA,0001045810,2026-05-08,both,Suzanne Nora Johnson,Director,2026-07-13,2026-05-20,First Quarter Fiscal 2027,81.6 billion,0.01,NOT_FOUND,12,before earnings
NVIDIA Corporation,NVDA,0001045810,2026-05-08,appointment,Nora Johnson,NOT_FOUND,2026-07-13,2026-05-20,First Quarter Fiscal 2027,81.6 billion,0.01,NOT_FOUND,12,before earnings
NVIDIA Corporation,NVDA,0001045810,2026-04-27,both,Donald Robertson,Vice President,2026-05-04,2026-05-20,First Quarter Fiscal 2027,81.6 billion,0.01,NOT_FOUND,23,before earnings
